step,Activations/actor/compressor.2/dead_ratio,Activations/actor/compressor.2/mean,Activations/actor/compressor.2/std,Activations/actor/decoder.2/dead_ratio,Activations/actor/decoder.2/mean,Activations/actor/decoder.2/std,Activations/actor/decompressor.1/dead_ratio,Activations/actor/decompressor.1/mean,Activations/actor/decompressor.1/std,Activations/actor/encoder.2/dead_ratio,Activations/actor/encoder.2/mean,Activations/actor/encoder.2/std,Activations/actor/encoder.6/dead_ratio,Activations/actor/encoder.6/mean,Activations/actor/encoder.6/std,Episode/action_mean,Episode/action_std,Episode/actor_loss,Episode/best_reward,Episode/critic_loss,Episode/dpdx_max,Episode/dpdx_mean,Episode/dpdx_min,Episode/noise_scale,Episode/q_value,Episode/reward,Episode/spatial_loss,Episode/steps,Episode/temporal_loss,Episode/zero_loss,Gradients/Actor/global_norm,Gradients/Actor/gnn_grad_norm,Gradients/Actor/is_exploding,Gradients/Actor/is_vanishing,Gradients/Critic/global_norm,Gradients/Critic/is_exploding,Gradients/Critic/is_vanishing,Training/actor_lr,Training/critic_lr,Training/gradient_clip,Weights/Actor/gnn_weight_norm
1,,,,,,,,,,,,,,,,-0.05152713879942894,0.3230482339859009,4.481822490692139,-74525.6796875,2474932.75,-0.005369322840124369,-0.013810536824166775,-11.834813117980957,0.09942600876092911,-4.370723724365234,-74525.6796875,0.03063955344259739,1801.0,0.09078030288219452,0.02262389101088047,,,,,,,,,,,
2,,,,,,,,,,,,,,,,-0.048218488693237305,0.23224301636219025,15.61929702758789,-14337.8076171875,1574777.0,-0.004705057479441166,-0.006291230674833059,-0.008350790478289127,0.09885530918836594,-15.56391716003418,-14337.8076171875,0.010405906476080418,1801.0,0.03830811008810997,0.015875106677412987,,,,,,,,,,,
3,,,,,,,,,,,,,,,,-0.0500062070786953,0.23100546002388,30.576730728149414,,674881.75,-0.00508031714707613,-0.006389287766069174,-0.008259539492428303,0.09828788787126541,-30.56321144104004,-15122.6982421875,0.008054228499531746,1801.0,0.029110107570886612,0.014273766428232193,,,,,,,,,,,
4,,,,,,,,,,,,,,,,-0.04646938294172287,0.21987226605415344,49.11471939086914,-13772.2763671875,674876.4375,-0.004815713968127966,-0.00622057868167758,-0.007755496073514223,0.09772372245788574,-49.10923385620117,-13772.2763671875,0.006942626554518938,1801.0,0.02467949315905571,0.013598515652120113,,,,,,,,,,,
5,,,,,,,,,,,,,,,,-0.046080976724624634,0.20988333225250244,70.74162292480469,-13678.8115234375,674792.0,-0.004561625421047211,-0.006208902224898338,-0.00822333712130785,0.09716279804706573,-70.70999908447266,-13678.8115234375,0.006310991942882538,1801.0,0.022886008024215698,0.012996014207601547,,,,,,,,,,,
6,,,,,,,,,,,,,,,,-0.046269193291664124,0.2066698521375656,94.13249969482422,,224993.65625,-0.004508281126618385,-0.0063024559058249,-0.008128007873892784,0.096605084836483,-94.12661743164062,-14427.6591796875,0.005785008892416954,1801.0,0.02087423764169216,0.012407978065311909,,,,,,,,,,,
7,,,,,,,,,,,,,,,,-0.04601619020104408,0.20933084189891815,117.7179183959961,-12824.3681640625,57.22346496582031,-0.0046907453797757626,-0.006102155894041061,-0.007891272194683552,0.09605058282613754,-117.63040924072266,-12824.3681640625,0.005410508718341589,1801.0,0.019324161112308502,0.012023860588669777,,,,,,,,,,,
8,,,,,,,,,,,,,,,,-0.047010865062475204,0.20174776017665863,140.25584411621094,,224941.9375,-0.004555856343358755,-0.006367960013449192,-0.008302672766149044,0.09549926221370697,-140.23440551757812,-14951.9833984375,0.005168803036212921,1801.0,0.018582791090011597,0.01179578062146902,,,,,,,,,,,
9,,,,,,,,,,,,,,,,-0.045491497963666916,0.20120038092136383,162.56973266601562,,89.32218933105469,-0.004714081529527903,-0.006186600308865309,-0.008206095546483994,0.0949511006474495,-162.5186767578125,-13500.2978515625,0.004947288893163204,1801.0,0.01787703111767769,0.011531720869243145,,,,,,,,,,,
10,,,,,,,,,,,,,,,,-0.0464814119040966,0.19439692795276642,183.9388427734375,,113.82238006591797,-0.004874314647167921,-0.006429537199437618,-0.008120710961520672,0.09440609067678452,-183.82456970214844,-15444.8740234375,0.0047553046606481075,1801.0,0.01727057807147503,0.011209170334041119,,,,,,,,,,,
11,,,,,,,,,,,,,,,,-0.046061135828495026,0.19354702532291412,205.1793212890625,-12535.6298828125,140.58926391601562,-0.004613684490323067,-0.006066083442419767,-0.00784391351044178,0.09386420249938965,-205.16253662109375,-12535.6298828125,0.004554156679660082,1801.0,0.017168138176202774,0.011006318964064121,,,,,,,,,,,
12,,,,,,,,,,,,,,,,-0.043460164219141006,0.1929582953453064,225.17279052734375,-11794.7783203125,143.13577270507812,-0.004317346028983593,-0.005973528604954481,-0.007770167198032141,0.0933254286646843,-225.05230712890625,-11794.7783203125,0.004450005479156971,1801.0,0.01688763126730919,0.010653682053089142,,,,,,,,,,,
13,,,,,,,,,,,,,,,,-0.04281984642148018,0.19249972701072693,244.29620361328125,-10058.091796875,189.09579467773438,-0.003992266952991486,-0.0057565635070204735,-0.0075613162480294704,0.09278974682092667,-244.42916870117188,-10058.091796875,0.004269697237759829,1801.0,0.01628779247403145,0.01054879929870367,,,,,,,,,,,
14,,,,,,,,,,,,,,,,-0.04254679009318352,0.1862492561340332,262.55072021484375,-9507.380859375,212.8559112548828,-0.004263510927557945,-0.005687762517482042,-0.007280219346284866,0.09225714206695557,-262.5481262207031,-9507.380859375,0.004105289466679096,1801.0,0.01634199731051922,0.010275018401443958,,,,,,,,,,,
15,,,,,,,,,,,,,,,,-0.042585596442222595,0.18984726071357727,279.21478271484375,,255.33213806152344,-0.004614378325641155,-0.006150077562779188,-0.008401818573474884,0.0917275920510292,-279.3260498046875,-13207.953125,0.0040730866603553295,1801.0,0.01565001718699932,0.010134988464415073,,,,,,,,,,,
16,,,,,,,,,,,,,,,,-0.043229520320892334,0.1886097937822342,296.2495422363281,,225261.109375,-0.004625909961760044,-0.006076352670788765,-0.007793122436851263,0.09120108187198639,-296.4005126953125,-12617.8271484375,0.004021990112960339,1801.0,0.015345214866101742,0.010064784437417984,,,,,,,,,,,
17,,,,,,,,,,,,,,,,-0.04367130249738693,0.1837247908115387,312.8417663574219,,225281.09375,-0.004600743297487497,-0.006067192647606134,-0.007376164197921753,0.09067759662866592,-312.691650390625,-12544.5048828125,0.0039243497885763645,1801.0,0.014712169766426086,0.00985607597976923,,,,,,,,,,,
18,,,,,,,,,,,,,,,,-0.042431123554706573,0.1827670782804489,328.2774963378906,,311.537109375,-0.004503866191953421,-0.005739657208323479,-0.007012678775936365,0.09015711396932602,-328.2874755859375,-9922.767578125,0.0038360622711479664,1801.0,0.014564008451998234,0.00971426535397768,,,,,,,,,,,
19,,,,,,,,,,,,,,,,-0.041436854749917984,0.18202903866767883,343.4595642089844,,312.74102783203125,-0.004677817225456238,-0.005777196492999792,-0.007106113247573376,0.08963961899280548,-343.3695983886719,-10223.2490234375,0.0037428506184369326,1801.0,0.014536707662045956,0.009614537470042706,,,,,,,,,,,
20,,,,,,,,,,,,,,,,-0.042840488255023956,0.1834840029478073,358.8219909667969,,360.5799560546875,-0.004376829136162996,-0.00575336255133152,-0.007947809994220734,0.08912509679794312,-358.71588134765625,-10032.470703125,0.003688761265948415,1801.0,0.01536771934479475,0.00927856843918562,,,,,,,,,,,
21,,,,,,,,,,,,,,,,-0.0280515868216753,0.17313991487026215,373.895263671875,-9311.8330078125,371.0853271484375,-0.004233835265040398,-0.005663332995027304,-0.0070130289532244205,0.08861352503299713,-373.8388671875,-9311.8330078125,0.0033764939289540052,1801.0,0.021169554442167282,0.008214319124817848,,,,,,,,,,,
22,,,,,,,,,,,,,,,,-0.033287253230810165,0.1745837926864624,387.9742126464844,,435.6588439941406,-0.004097826313227415,-0.00591589929535985,-0.007470233365893364,0.08810488879680634,-388.0455627441406,-11333.48828125,0.0032995620276778936,1801.0,0.019171610474586487,0.008509058505296707,,,,,,,,,,,
23,,,,,,,,,,,,,,,,-0.028532732278108597,0.1732470840215683,400.7383728027344,-8221.4501953125,225643.078125,-0.0036037180107086897,-0.005527110770344734,-0.0075488886795938015,0.08759917318820953,-400.6965637207031,-8221.4501953125,0.003258143085986376,1801.0,0.017860617488622665,0.008371532894670963,,,,,,,,,,,
24,,,,,,,,,,,,,,,,-0.039230939000844955,0.17142672836780548,412.9093933105469,,225653.640625,-0.0040005967020988464,-0.005708308890461922,-0.006945619825273752,0.08709635585546494,-413.039306640625,-9671.8408203125,0.0033266255632042885,1801.0,0.015101245604455471,0.008384224027395248,,,,,,,,,,,
