wall_time,step,tag,value,file
1764256320.1533542,1,Episode/reward,-1953.9700927734375,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764256597.0876985,2,Episode/reward,1276.1248779296875,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764256866.4256353,3,Episode/reward,1320.17822265625,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764257471.1657395,4,Episode/reward,-386.8968811035156,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764258067.129882,5,Episode/reward,-1853.59814453125,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764258666.609567,6,Episode/reward,-1696.0560302734375,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764259261.5196283,7,Episode/reward,-1519.66748046875,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764259862.9302516,8,Episode/reward,-1398.3096923828125,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764260467.5773332,9,Episode/reward,-1333.864013671875,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764261064.288468,10,Episode/reward,-1255.372314453125,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764261668.763531,11,Episode/reward,-1327.051513671875,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764262279.0729122,12,Episode/reward,-1051.012451171875,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764262881.054778,13,Episode/reward,-929.7732543945312,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764263493.9430795,14,Episode/reward,-355.1843566894531,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764264102.3980231,15,Episode/reward,-551.7987670898438,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764264727.134654,16,Episode/reward,-216.99789428710938,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764265359.1010416,17,Episode/reward,-288.84136962890625,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764265995.3886387,18,Episode/reward,-376.4330749511719,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
1764266627.512887,19,Episode/reward,-283.2817687988281,./run0/logs_pettingzoo_cnn/maddpg_cnn_agents64_20251127_150725/events.out.tfevents.1764256045.node033.pri.hyperion.alces.network.160174.0
